rcp26,rcp45,rcp60,rcp85
0.0003703800981290532,-0.00014152250167514776,5.9198644796401166e-5,0.0001691482976964461
-5.9900901870946785e-5,3.054849832485223e-5,0.00018307964479640117,-0.00020108470230355388
0.00024867009812905327,-0.00016397950167514776,-0.00010943135520359882,-2.5434702303553922e-5
-9.855390187094677e-5,-0.00029046750167514775,5.481264479640117e-5,8.753529769644608e-5
-2.800090187094677e-5,-7.508250167514776e-5,0.0002569296447964012,-4.6479702303553895e-5
-0.00016858090187094678,6.286149832485224e-5,-0.0002939203552035988,-8.50307023035539e-5
6.278509812905321e-5,-0.00028594750167514776,-0.0002769103552035988,-5.6280702303553905e-5
5.5575098129053205e-5,-0.00024024750167514779,-1.7121355203598835e-5,0.0001428142976964461
-6.492390187094678e-5,1.2819498324852208e-5,-0.0002679103552035988,-4.668270230355389e-5
-1.4679901870946765e-5,-7.187750167514777e-5,-7.986635520359882e-5,0.000546354297696446
-0.00032379890187094677,-0.00012986350167514777,0.0003060536447964012,4.423629769644612e-5
-0.0002814989018709468,0.00011716549832485222,0.00013463464479640118,-0.0001268697023035539
-2.512390187094679e-5,8.906849832485223e-5,-5.214835520359881e-5,3.336429769644608e-5
3.841098129053202e-6,0.0001322864983248522,6.868364479640116e-5,-6.74377023035539e-5
4.970409812905319e-5,0.00014103949832485222,-4.65703552035988e-5,-0.0004027537023035539
0.00017473409812905323,7.394149832485225e-5,-4.974935520359882e-5,-5.82617023035539e-5
0.0003018180981290532,0.00019374049832485222,9.37436447964012e-5,-0.0001306987023035539
-0.00016487290187094678,1.3696498324852248e-5,-0.00021441035520359882,-0.0001305497023035539
5.309709812905322e-5,5.256549832485222e-5,0.00017339064479640116,-0.0001571737023035539
0.00016301709812905322,-3.2545016751477735e-6,-0.00022311035520359882,-0.0001844447023035539
0.00014015009812905324,-5.446350167514775e-5,-7.252135520359883e-5,2.1986297696446097e-5
-7.652190187094679e-5,0.00010289949832485224,6.31116447964012e-5,-0.0001022097023035539
1.9501098129053225e-5,-0.00017449450167514777,-2.857635520359884e-5,0.0002648782976964461
-0.0003940989018709468,8.036849832485224e-5,-6.26663552035988e-5,-0.0004103857023035539
0.00016830909812905323,0.00028132449832485225,-0.00011879435520359882,-9.30857023035539e-5
